#{"t_start": 1790375980.845759, "env_id": "None"}
r,l,t
9.95,200,70.738057
38.3,200,70.895815
28.85,200,71.053934
15.2,200,71.215169
2.6,200,71.374151
7.85,200,71.531781
23.6,200,71.696225
-7.9,200,71.856311
20.45,200,72.016606
-2.65,200,72.174189
5.75,200,72.331783
6.8,200,72.491872
25.7,200,72.651049
0.5,200,72.8075
-1.6,200,72.965813
24.65,200,73.12296
-8.95,200,73.281195
13.1,200,73.44072
-0.55,200,73.597457
-4.75,200,73.761193
18.35,200,73.923426
12.05,200,74.081695
1.55,200,74.238203
5.75,200,74.400522
6.8,200,74.557981
5.75,200,74.715253
14.15,200,74.872548
-1.6,200,75.030938
5.75,200,75.191228
-0.55,200,75.348717
30.95,200,75.507067
12.05,200,75.664494
-0.55,200,75.822133
18.35,200,75.982084
-2.65,200,76.143136
-5.8,200,76.301154
-0.55,200,76.460488
49.85,200,76.619514
-3.7,200,76.777784
30.95,200,76.936925
22.55,200,77.094873
28.85,200,77.252547
5.75,200,77.410161
22.55,200,77.568881
12.05,200,77.727042
4.7,200,77.884967
-2.65,200,78.044637
